REMARK,"AIRKNIF 91026 rung comments for Studio 5000 Logix Designer V32. Tools > Import > Tags and Logic Comments. If Owning Element is blank, comments match by Location (rung number). Otherwise check 'Match all ladder diagram rung comments by rung number only'. Location is the GE printout rung number (8, 11, 12, …), not a compacted 0-based index."
REMARK,Each comment starts with the GE printout rung number. Printout rung comments are appended when present. Change the program/routine names below if the Airknife project uses different names.
RCOMMENT,Airknife,MainRoutine,GE Rung 73,,73
RCOMMENT,Airknife,MainRoutine,GE Rung 74,,74
RCOMMENT,Airknife,MainRoutine,GE Rung 75,,75
RCOMMENT,Airknife,MainRoutine,GE Rung 76,,76
RCOMMENT,Airknife,MainRoutine,GE Rung 77,,77
RCOMMENT,Airknife,MainRoutine,GE Rung 78,,78
RCOMMENT,Airknife,MainRoutine,GE Rung 79,,79
RCOMMENT,Airknife,MainRoutine,GE Rung 80,,80
RCOMMENT,Airknife,MainRoutine,GE Rung 81,,81
RCOMMENT,Airknife,MainRoutine,GE Rung 82,,82
RCOMMENT,Airknife,MainRoutine,GE Rung 83,,83
RCOMMENT,Airknife,MainRoutine,GE Rung 84,,84
RCOMMENT,Airknife,MainRoutine,GE Rung 85,,85
RCOMMENT,Airknife,MainRoutine,GE Rung 86,,86
RCOMMENT,Airknife,MainRoutine,GE Rung 87,,87
RCOMMENT,Airknife,MainRoutine,GE Rung 88,,88
RCOMMENT,Airknife,MainRoutine,GE Rung 90$N$NTHE NEXT TWO RUNGS MOVE THE KNIFE ROTATION POSITION ENCODER INPUT DATA$N(1ENC - 2ENC) INTO DATA REGISTERS R9-R10.,,90
RCOMMENT,Airknife,MainRoutine,GE Rung 91,,91
RCOMMENT,Airknife,MainRoutine,GE Rung 93$N$NTHIS RUNG GENERATES A PULSE EVERY 100ms TO UPDATE THE CONTROL DESK$NDISPLAYS.,,93
RCOMMENT,Airknife,MainRoutine,GE Rung 95$N$NTHE NEXT TWO RUNGS MOVES DISPLAY DATA TO THE ANALOG OUTPUTS TO DRIVE$NTHE CONTROL DESK DISPLAYS.,,95
RCOMMENT,Airknife,MainRoutine,"GE Rung 97$N$NIF THE PUSHBUTTON PANEL DOES NOT HAVE CONTROL POWER, THEN ZERO IS$NMOVED TO THE ANALOG OUTPUTS TO DRIVE THE DISPLAY.",,97
RCOMMENT,Airknife,MainRoutine,"GE Rung 99$N$NTHE REMAINDER OF THE RUNGS CONTROL THE POT FUNCTIONS.$NWHEN AN E-STOP EXISTS, ALL INTERNAL AND EXTERNAL OUTPUTS$NWITHIN THE MCR AREA WILL BE DE-ENERGIZED.",,99
RCOMMENT,Airknife,MainRoutine,GE Rung 101$N$NTHE NEXT 2 RUNGS CONVERT THE ENCODER INPUT ( WHICH IS SCALED BY THE$NGENIOUS BLOCK FROM 4-20ma IN TO 0-4095 OUT) TO 0 TO 3600 DEGREES.,,101
RCOMMENT,Airknife,MainRoutine,GE Rung 102,,102
RCOMMENT,Airknife,MainRoutine,GE Rung 104$N$NTHE NEXT 8 RUNGS GENERATE THE LIMITS TO WHICH THE FRONT KNIFE IS ALLOWED$NTO ROTATE IN SLOW SPEED BELOW THE ELEVATOR MID-POSITION.,,104
RCOMMENT,Airknife,MainRoutine,GE Rung 105,,105
RCOMMENT,Airknife,MainRoutine,GE Rung 106,,106
RCOMMENT,Airknife,MainRoutine,GE Rung 107,,107
RCOMMENT,Airknife,MainRoutine,GE Rung 108,,108
RCOMMENT,Airknife,MainRoutine,GE Rung 109,,109
RCOMMENT,Airknife,MainRoutine,GE Rung 110,,110
RCOMMENT,Airknife,MainRoutine,GE Rung 111,,111
RCOMMENT,Airknife,MainRoutine,"GE Rung 113$N$NTHE NEXT 4 RUNGS DETERMINE A VALID (NOT MORE THAN 1 BUTTON DEPRESSED)$NREQUEST FOR FRONT KNIFE ROTATION. 4SS IS A SELECTOR SWITCH LOCATED AT$NTHE PUSBUTTON PANEL (AT THE POT) TO CONTROL WHICH OPERATOR STATION IS$NACTIVE. WHEN IN ""LOCAL"" %I245 IS OFF AND THE PUSHBUTTON PANEL IS ACTIVE.$NWHEN IN ""REMOTE"" %I245 IS ON AND THE CONTROL DESK BECOMES ACTIVE.$N""LOCAL"" IS USED FOR MAINTENANCE AND ""REMOTE"" IS USED FOR NORMAL$NOPERATION.",,113
RCOMMENT,Airknife,MainRoutine,GE Rung 114,,114
RCOMMENT,Airknife,MainRoutine,GE Rung 115,,115
RCOMMENT,Airknife,MainRoutine,GE Rung 116,,116
RCOMMENT,Airknife,MainRoutine,"GE Rung 118$N$NTHE NEXT 7 RUNGS ENERGIZE THE FRONT KNIFE DRIVE INTERFACE RELAYS$N101CR-107CR. THE KNIFE DIRECTION/SPEED RELAYS 101CR-104CR ARE$NINTERLOCKED WITH KNIFE ROTATION LIMITS (SEE DWG 8819-1189) AND$NTHE ELEVATOR MID-POSITION.$N$NUP SLOW ROTATION IS ALLOWED FROM 0 THRU 10 DEGREES, 155 THRU 190$NDEGREES, 335 THRU 360 DEGREES OR ANYWHERE ABOVE THE MID-POSITION.",,118
RCOMMENT,Airknife,MainRoutine,GE Rung 120$N$NUP FAST ROTATION IS ONLY ALLOWED ABOVE MID-POSITION WITH THE BAFFLES$NDISENGAGED.,,120
RCOMMENT,Airknife,MainRoutine,"GE Rung 122$N$NDOWN SLOW ROTATION IS ALLOWED FROM  0 THRU 25 DEGREES, 170 THRU$N205 DEGREES, 350 THRU 360 DEGREES OR ANYWHERE ABOVE MID-POSITION.",,122
RCOMMENT,Airknife,MainRoutine,GE Rung 124$N$NDOWN FAST IS ONLY ALLOWED ABOVE MID-POSITION WITH THE BAFFLES$NDISENGAGED.,,124
RCOMMENT,Airknife,MainRoutine,GE Rung 125,,125
RCOMMENT,Airknife,MainRoutine,GE Rung 127$N$NDISABLES (ENERGIZES) THE BRAKE ANYTIME 101CR - 104CR ARE ENERGIZED.,,127
RCOMMENT,Airknife,MainRoutine,GE Rung 129$N$NENABLE ROTATION DRIVES WHEN NOT IN E-STOP,,129
RCOMMENT,Airknife,MainRoutine,GE Rung 131$N$NTHE NEXT 8 RUNGS GENERATE THE LIMITS TO WHICH THE REAR KNIFE IS$NALLOWED TO ROTATE IN SLOW SPEED BELOW THE ELEVATOR MID-POSITION.,,131
RCOMMENT,Airknife,MainRoutine,GE Rung 132,,132
RCOMMENT,Airknife,MainRoutine,GE Rung 133,,133
RCOMMENT,Airknife,MainRoutine,GE Rung 134,,134
RCOMMENT,Airknife,MainRoutine,GE Rung 135,,135
RCOMMENT,Airknife,MainRoutine,GE Rung 136,,136
RCOMMENT,Airknife,MainRoutine,GE Rung 137,,137
RCOMMENT,Airknife,MainRoutine,GE Rung 138,,138
RCOMMENT,Airknife,MainRoutine,GE Rung 140$N$NTHE NEXT 4 RUNGS DETERMINE A VALID (NOT MORE THAN 1 BUTTON PRESSED)$NREQUEST FOR REAR KNIFE ROTATION.,,140
RCOMMENT,Airknife,MainRoutine,GE Rung 141,,141
RCOMMENT,Airknife,MainRoutine,GE Rung 142,,142
RCOMMENT,Airknife,MainRoutine,GE Rung 143,,143
RCOMMENT,Airknife,MainRoutine,"GE Rung 145$N$NTHE NEXT 6 RUNGS ENERGIZE THE DRIVE INTERFACE RELAYS 91CR - 96CR.$NTHE KNIFE DIRECTION/SPEED RELAYS 91CR - 94CR ARE INTERLOCKED WITH$NKNIFE ROTATION LIMITS (SEE DWG 8819-1189) AND ELEVATOR MID-POSITION$NSWITCHES.$N$NUP SLOW ROTATION IS ALLOWED FROM 0 THRU 10 DEGREES, 155 THRU 190$NDEGREES, 335 THRU 360 DEGREES OR ANYWHERE ABOVE THE MID-POSITION OF$NTHE ELEVATOR.",,145
RCOMMENT,Airknife,MainRoutine,GE Rung 147$N$NUP FAST IS ONLY ALLOWED ABOVE MID-POSITION WITH THE BAFFLES DISENGAGED.,,147
RCOMMENT,Airknife,MainRoutine,"GE Rung 149$N$NDOWN SLOW ROTATION IS ALLOWED FROM 0 THRU 25 DEGREES, 170 THRU 205$NDEGREES, 350 THRU 360 DEGREES OR ANYWHERE ABOVE THE ELEVATOR$NMID-POSITION.",,149
RCOMMENT,Airknife,MainRoutine,GE Rung 151$N$NDOWN FAST IS ONLY ALLOWED ABOVE THE MID-POSITION WITH THE BAFFLES$NDISENGAGED.,,151
RCOMMENT,Airknife,MainRoutine,GE Rung 152,,152
RCOMMENT,Airknife,MainRoutine,GE Rung 154$N$NDISABLES (ENERGIZES) THE BRAKE WHENEVER 91CR - 94CR ARE ENERGIZED.,,154
RCOMMENT,Airknife,MainRoutine,"GE Rung 156$N$NELEVATOR DOWN BELOW MID-POSITION IS ALLOWED ONLY WHEN THE KNIVES ARE$NIN THEIR NORMAL OPERATING RANGE (0 THRU 10 DEGREES, 170 THRU 190$NDEGREES OR 350 THRU 360 DEGREES).",,156
RCOMMENT,Airknife,MainRoutine,GE Rung 158$N$NDRIVE SIDE ELEVATOR UP CONTROL RELAY.,,158
RCOMMENT,Airknife,MainRoutine,GE Rung 160$N$NDRIVE SIDE ELEVATOR DOWN CONTROL RELAY.,,160
RCOMMENT,Airknife,MainRoutine,"GE Rung 162$N$NELEVATOR DOWN BELOW MID-POSITION IS ALLOWED ONLY WHEN THE KNIVES ARE$NIN THEIR NORMAL OPERATING RANGE (0 THRU 10 DEGREES, 170 THRU 190$NDEGREES OR 350 THRU 360 DEGREES).",,162
RCOMMENT,Airknife,MainRoutine,GE Rung 164$N$NOPERATOR SIDE ELEVATOR UP CONTROL RELAY.,,164
RCOMMENT,Airknife,MainRoutine,GE Rung 166$N$NOPERATOR SIDE ELEVATOR DOWN CONTROL RELAY.,,166
RCOMMENT,Airknife,MainRoutine,GE Rung 168$N$NTHE NEXT 2 RUNGS DETERMINE THE MODE OF THE KNIFE HORIZONTAL$NPOSITIONERS.,,168
RCOMMENT,Airknife,MainRoutine,GE Rung 169,,169
RCOMMENT,Airknife,MainRoutine,GE Rung 170,,170
RCOMMENT,Airknife,MainRoutine,GE Rung 171,,171
RCOMMENT,Airknife,MainRoutine,GE Rung 172,,172
RCOMMENT,Airknife,MainRoutine,GE Rung 173,,173
RCOMMENT,Airknife,MainRoutine,GE Rung 174,,174
RCOMMENT,Airknife,MainRoutine,"GE Rung 176$N$NUse Gap Auto to only allow movement if the correct mode from ACT$Nis on.$N$NSkew mode, Passline mode (temp. disabled 3/24/17, ATM mode,$Nand Z-Assist mode.",,176
RCOMMENT,Airknife,MainRoutine,GE Rung 179$N$NUse height movement in Auto when ACT is in Height or Z-assist mode$N$NUse this timer to keep the Manual Request high for a time delay after$Nswithcing back to auto.,,179
RCOMMENT,Airknife,MainRoutine,"GE Rung 181$N$NUse this timer to pulse the moves for the knives in and out.$NThis is to prevent overshoot and emulate how the operator$Nbumps the knives in and out.$N$NSetpoint in 1st Timer, PULSEKN, %M0906 is the off delay (200 = 2secs)$NSetpoint in 2nd Timer, PULSKNR, %M0907 is the on time (25 = 250ms)",,181
